VDS_ID,VDS_SECTN_ID,ROUTE_DIR,LANE_CNT,ETL_TYPE,LINK_ID,START_NODE_ID,END_NODE_ID,SECTN_LEN,USE_YN,POI,X,Y
VDS0007,VL1860000009,3502,3,603,AW3020002800,AP3020000027,AP3020000028,1114.8,Y,0,127.3638439,36.40303412
VDS0115,VL1880000216,3501,3,603,AE3017060800,AP3020000028,AP3020000027,1113.56,Y,0,127.3433037,36.30919403
VDS0069,VL1880000076,3502,4,603,AE3011002300,AP3020001163,AP3020001178,448.63,Y,0,127.4365225,36.34865598
VDS0061,VL1880000067,3502,3,603,AS3023003000,AP3020001178,AP3020001163,454.34,Y,0,127.4244052,36.43445681
VDS0076,VL1880000084,3502,2,603,AE3014008800,AP3020000030,AP3020000007,2521.68,Y,0,127.435175,36.32056181
VDS0095,VL1880000110,3502,3,603,AS3020006100,AP3020000007,AP3020000030,2538.45,Y,0,127.3176132,36.37724957
VDS0023,VL1860000026,3502,6,603,AE3020093100,AP3020000033,AP3020001222,552.67,Y,0,127.354644,36.35934839
VDS0019,VL1850000022,3502,4,603,AE3017000900,AP3020001222,AP3020000033,554.49,Y,0,127.3752722,36.3645319
VDS0046,VL1850000050,3502,3,603,AN3020087400,AP3020000035,AP3020000043,1006.6,Y,1,127.3143327,36.32006332
VDS0103,VL1880000203,3502,4,603,AW3020063500,AP3020000043,AP3020000036,296.95,Y,1,127.3456979,36.34872637
VDS0107,VL1880000207,3502,3,603,AS3020065900,AP3020000048,AP3020000047,629.37,Y,1,127.3491634,36.33570014
VDS0014,VL1870000016,3502,3,603,AS3023003702,AP3020000047,AP3020000048,653.22,Y,1,127.4126549,36.39337103
VDS0078,VL1880000088,3501,2,603,AS3014000800,AP3020000038,AP3020000046,520.56,Y,0,127.4120112,36.33949921
VDS0002,VL1870000003,3502,1,603,AW3023010800,AP3020000046,AP3020000038,518.94,Y,0,127.4363031,36.45371356
VDS0082,VL1880000092,3502,4,603,AW3014001000,AP3020001205,AP3020001200,433.41,Y,0,127.409029,36.32167399
VDS0092,VL1880000106,3502,2,603,AN3020002700,AP3020001200,AP3020001205,434.96,Y,0,127.3737471,36.39598478
VDS0099,VL1880000114,3502,5,603,AE3020006700,AP3020001230,AP3020001225,340.79,Y,0,127.3207172,36.36647885
VDS0039,VL1830000042,3502,4,603,AN3011099502,AP3020001225,AP3020001230,340.61,Y,1,127.4391761,36.33634365
VDS0053,VL1840000057,3502,3,603,AS3014009900,AP3020001203,AP3020001207,306.8,Y,0,127.443958,36.30855098
VDS0101,VL1880000201,3502,4,603,AW3020063200,AP3020001207,AP3020001203,309.13,Y,0,127.332632,36.34873101
VDS0128,VL1880000234,3502,3,603,AW3017097201,AP3020001209,AP3017001305,844.88,Y,0,127.343513,36.29758458
VDS0068,VL1880000075,3502,4,603,AW3011002200,AP3017001305,AP3020001209,858.06,Y,0,127.4360888,36.34930206
VDS0089,VL1880000102,3502,2,603,AN3020001600,AP3017001305,AP3020001229,887.59,Y,1,127.4054878,36.38277591
VDS0093,VL1880000108,3502,3,603,AW3020003402,AP3020001229,AP3017001305,887.9,Y,0,127.3524229,36.38547136
VDS0013,VL1870000015,3502,3,603,AN3023003702,AP3017001301,AP3017001306,709.72,Y,1,127.4136751,36.39253916
VDS0021,VL1850000024,3502,4,603,AE3017093800,AP3017001306,AP3017001301,736.35,Y,1,127.389053,36.36430903
VDS0034,VL1850000037,3502,3,603,AE3017018100,AP3017001306,AP3017001302,545.41,Y,1,127.396122,36.33550975
VDS0040,VL1830000043,3502,2,603,AN3011006400,AP3017001302,AP3017001306,545.39,Y,1,127.4461373,36.33526277
VDS0124,VL1880000230,3502,4,603,AE3017060100,AP3017001303,AP3017000986,725.93,Y,0,127.352844,36.33199698
VDS0063,VL1880000069,3502,3,603,AS3023004402,AP3017000986,AP3017001303,731.68,Y,0,127.4206308,36.37177632
VDS0071,VL1880000079,3502,3,603,AS3011005300,AP4415000998,AP3020000014,4069.95,Y,0,127.430737,36.33499865
VDS0092,VL1880000107,3501,2,603,AS3020002700,AP3020000014,AP4415000998,4047.93,Y,0,127.3737471,36.39598478
VDS0010,VL1870000012,3502,3,603,AN3023003400,AP3011000974,AP3011001203,846.6,Y,1,127.4238789,36.41500546
VDS0008,VL1860000010,3502,3,603,AE3020002800,AP3011001203,AP3011000974,874.17,Y,0,127.366339,36.40404649
VDS0078,VL1880000087,3502,2,603,AN3014000800,AP3020000912,AP3020001243,3767.43,Y,0,127.4120112,36.33949921
VDS0004,VL1870000006,3502,4,603,AN3020092100,AP3020001243,AP3020000912,3784.81,Y,1,127.3901846,36.43500571
VDS0006,VL1860000008,3502,5,603,AN3020090000,AP3020001177,AP3020000010,2055.66,Y,0,127.3107296,36.39822846
VDS0020,VL1850000023,3502,4,603,AW3017001300,AP3020000010,AP3020001177,2069.65,Y,1,127.3916391,36.36526569
VDS0031,VL1850000034,3502,4,603,AN3017010400,AP3017001308,AP3017001305,1870.66,Y,1,127.4023691,36.35452922
VDS0110,VL1880000210,3501,4,603,AE3020066200,AP3017001305,AP3017001308,1873.74,Y,0,127.3435166,36.33196985
VDS0125,VL1880000231,3502,3,603,AN3023003710,AP3023001206,AP3023001150,2001.68,Y,0,127.4159407,36.42199248
VDS0121,VL1880000227,3502,4,603,AS3020016500,AP3023001150,AP3023001206,1968.36,Y,1,127.338816,36.36649298
VDS0073,VL1880000081,3502,4,603,AW3011009200,AP3017000969,AP3017001411,444.4,Y,0,127.4505161,36.31913762
VDS0045,VL1850000049,3502,3,603,AS3020010700,AP3017001411,AP3017000969,440.76,Y,1,127.313677,36.31834503
VDS0042,VL1850000046,3502,2,603,AN3017088600,AP3014000047,AP3014000048,440,Y,1,127.3711449,36.33065732
VDS0052,VL1840000056,3502,2,603,AS3011013900,AP3014000048,AP3014000047,450.5,Y,1,127.4410265,36.31271738
