RSE_ID,INST_LOCAT,LOCAL_NM,POINT_X,POINT_Y
RSE9013,덕암동 13-1 신탄대한약국 건너/기아카클리릭 앞,신탄진,127.4259273,36.44402599
RSE9015,신탄진동 296-14 신탄진고가 SK가스충전소 앞,신탄진,127.4292529,36.44226279
RSE9016,덕암동 541-3 덕암3가신호등,신탄진,127.4263352,36.43866972
RSE9017,오정동 767-14,용전,127.412449,36.346416
RSE9020,상서동 442 산막삼거리,신탄진,127.4198769,36.42197908
RSE9038,읍내동 506-12건너 원천교/원천SK주유소 건너 천편,용전,127.4110066,36.37773256
RSE9040,읍내동 521-4 대전화물터미널 건너편,용전,127.426122,36.381448
RSE9072,대전광역시 대덕구 대화동289-1 제일은행;공구상가 건너편,용전,127.4005765,36.36729801
RSE9073,대화동 16-239 두리예식장 건너,용전,127.419501,36.36759011
RSE9075,읍내동 358 장터주유소 건너,용전,127.4198876,36.37294843
RSE9076,법1동 280-2 삼호아파트 건너/한샘교회 앞,용전,127.4246549,36.37299416
RSE9078,중리동 362-1 럭키스포츠프라자 앞,용전,127.4229962,36.36640294
RSE9082,송촌동 439-4 인재학원/왕인학원 건너 신호등,용전,127.4281102,36.37472309
RSE9083,법동 282-3 대전원예농협법동지점,용전,127.4286503,36.37081799
RSE9086,중리동 132-5 프로스펙스대리점 앞/가자주류백화점 앞,용전,127.4297456,36.3670672
RSE9090,중리동 121-1 하나로종합병원 앞,용전,127.4317642,36.3616983
RSE9156,상서동 259 3/4공단 3거리/미쉐린타이어대전총판 앞,신탄진,127.4206017,36.42774771
RSE9158,대전광역시 대덕구 오정동705 농수산물오거리,용전,127.4047681,36.35714864
RSE9162,대전광역시 대덕구 오정동715 오정동사무소오거리,용전,127.409661,36.35293484
RSE9165,대전광역시 대덕구 오정동731 오정철교사다리,용전,127.412831,36.35044632
RSE9166,오정동 390-1 위니아에어컨 앞,용전,127.4158097,36.35837897
RSE9168,오정동 428-2 LG정유동대전충전소 앞,용전,127.4155435,36.35330436
RSE9170,대전광역시 대덕구 오정동731 한남오거리,용전,127.41557,36.34821522
RSE9172,오정동 454-6,용전,127.4190562,36.35050836
RSE9174,중리동 221-3 통영할어회직판장 앞,용전,127.4203359,36.35851301
RSE9183,비래동 118-1 금성백조아파트 앞/심야전기백화점 앞,용전,127.4487471,36.35893506
RSE9184,대전광역시 대덕구 송촌동562-1 대전나들목네거리,용전,127.4457321,36.35791371
RSE9185,송촌동 460-1 송림해피존 앞,용전,127.4384795,36.36653627
RSE9186,비래동 171 라보라대전지점 앞,용전,127.4451078,36.35583614
RSE9190,비래동 130-9,용전,127.4514435,36.3577262
RSE9191,비래동 45-1 컴퓨터으뜸병원 앞,용전,127.4549011,36.354609
RSE9220,신일동 1692-5 삼화기전 앞,신탄진,127.408285,36.43186747
RSE9247,오정동 344-3 대우자바라 앞/철교1 하상도로 금산방향,용전,127.4102411,36.34838337
RSE9257,중리동 203-5/중리아파트3가/ 소망24시 열쇠,용전,127.4269969,36.35923491
RSE9323,목상동 38-5 영진가스상사 앞,신탄진,127.4130065,36.44962937
RSE9328,송촌동 495-10 송촌중학교 앞,용전,127.4423637,36.3638526
RSE9402,대화동 553 한밭아이씨북편,용전,127.3979287,36.36592072
RSE9403,대화동 388 대화아이씨서편,용전,127.4023536,36.3738134
RSE9502,덕암동 345 덕암우체국삼거리,신탄진,127.4218909,36.4340009
RSE9503,신대동 366 회덕농협 앞,용전,127.4228982,36.40127094
RSE9512,대전광역시 대덕구 법2동195-1 그린타운아파트 앞/소원아파트 건너,용전,127.4340052,36.36788064
RSE9513,대전광역시 대덕구 중리동505-1 중리취사장 근처,용전,127.4355484,36.36205603
RSE9999,신대동 69-11 신탄진방향,용전,127.4179236,36.4072788
RSE7215,용문동 224-140 연일카센타 건너 도산길 입구,서대전,127.4007399,36.33891548
RSE7216,용문동 250-3 S-OIL 우송주유소 앞,서대전,127.3968679,36.33498883
RSE7218,가장동 17-7 한마음아파트 건너/신성전기조명 앞,서대전,127.3924425,36.3314508
RSE7267,도마동 14-18 서대전여고 건너 서대전 문고 건너,서대전,127.3707434,36.32662105
RSE7268,변동 73-33 변동슈퍼타운 건너/사거리 분식 앞,서대전,127.3748881,36.32894028
RSE7269,도마동 49-12 영풍제과 앞,서대전,127.3734714,36.32227067
RSE7270,도마1동 61-37 대청수족관 앞,서대전,127.3738285,36.31946212
RSE7271,도마2동 122-6,서대전,127.373623,36.31568656
RSE7272,변동 31-57 변동농협 건너편/복양교회 앞 교통섬,서대전,127.3793371,36.32551677
