before_before_rse_id,before_rse_id,rse_id,frequency,distance,total_time,avg_time,avg_speed
RSE7060,RSE7056,RSE7056,321,1.919768479857689,74526.0,232.16822429906543,0.029767926030157873
RSE7129,RSE7130,RSE7114,319,456.0999999999978,19255.0,60.36050156739812,27.202557257854973
RSE7114,RSE7131,RSE7131,312,340.33000000000146,42205.0,135.27243589743588,9.057188863878729
RSE7131,RSE7131,RSE7114,300,340.4600000000018,42080.0,140.26666666666668,8.738041825095104
RSE7144,RSE7131,RSE7131,272,310.28999999999917,27712.0,101.88235294117646,10.964057736720527
RSE7124,RSE7125,RSE7125,270,336.22999999999985,34116.0,126.35555555555555,9.579539219134713
RSE7121,RSE7097,RSE7109,269,253.7691735770485,48212.0,179.2267657992565,5.0972800898534345
RSE7059,RSE7109,RSE7120,267,787.7300000000032,39921.0,149.51685393258427,18.966610956639443
RSE7125,RSE7125,RSE7194,249,246.5,30927.0,124.20481927710843,7.14465030555825
RSE7114,RSE7131,RSE7132,248,548.970000000001,28407.0,114.54435483870968,17.25350850142574
RSE7125,RSE7125,RSE7124,246,336.33999999999793,33979.0,138.1260162601626,8.76608210953819
RSE7068,RSE8069,RSE8069,231,411.8999999999989,35290.0,152.77056277056278,9.706320204023775
RSE7131,RSE7131,RSE7144,230,310.36000000000047,35351.0,153.7,7.2693298633702135
RSE7097,RSE7109,RSE7059,221,553.8891735770476,56943.0,257.6606334841629,7.738865646311208
RSE7120,RSE7097,RSE7121,221,458.97000000000105,17517.0,79.26244343891403,20.845837300907736
RSE7131,RSE7144,RSE7144,213,310.36000000000047,35693.0,167.57276995305165,6.667527190205372
RSE7059,RSE7059,RSE7109,198,554.0399999999978,33157.0,167.45959595959596,11.910598425671756
RSE7056,RSE7067,RSE7068,187,1189.5800000000072,34724.0,185.6898395721925,23.06258656836784
RSE7109,RSE7120,RSE7097,186,439.05000000000166,10086.0,54.225806451612904,29.148114217727652
RSE7131,RSE7114,RSE7120,164,654.1800000000029,23495.0,143.2621951219512,16.43872619706328
RSE7120,RSE7114,RSE7130,164,513.7399999999997,16919.0,103.16463414634147,17.927306341982376
RSE7124,RSE7124,RSE7125,159,336.230000000001,20496.0,128.9056603773585,9.390029859484805
RSE7126,RSE7126,RSE7092,159,0.9111988879754259,22097.0,138.9748427672956,0.023603667623529608
RSE7130,RSE7114,RSE7109,153,200.25043467551563,29970.0,195.88235294117646,3.6802782589013683
RSE7114,RSE7130,RSE7129,148,455.6500000000002,18070.0,122.0945945945946,13.434992805755401
RSE7059,RSE7109,RSE7109,144,554.0399999999995,23643.0,164.1875,12.147964979063559
RSE7114,RSE7109,RSE7059,144,553.7904346755176,42628.0,296.02777777777777,6.734657064272036
RSE7092,RSE7125,RSE7124,143,716.419999999999,27239.0,190.4825174825175,13.539888248467253
RSE7056,RSE7056,RSE7056,138,0.0,20083.0,145.52898550724638,
RSE7067,RSE7068,RSE8069,137,1088.0599999999997,29739.0,217.07299270072994,18.044695248663366
RSE7067,RSE7056,RSE7056,133,515.4199999999987,14687.0,110.42857142857143,16.80282535575675
RSE7196,RSE7196,RSE7194,132,1.429474609700257,69885.0,529.4318181818181,0.009720059161902586
RSE7092,RSE7126,RSE7126,129,0.9111988879754268,28558.0,221.3798449612403,0.01481759099291926
RSE7109,RSE7120,RSE7114,128,547.5600000000018,11673.0,91.1953125,21.615321511179715
RSE7194,RSE7125,RSE7125,123,247.04000000000065,17635.0,143.3739837398374,6.202966373688704
